index,symbol,message,timestamp_raw,timestamp_iso
1,ACHR,"Which earnings release are you most excited for after the close?  
 
Drop a comment for others.",,
2,ACHR,"Have a question for Archer Aviation ( $ACHR ) Founder & CEO Adam Goldstein? 
 
Drop it below. We will select a few to ask during a live interview on Friday.",2025-11-05T17:55:34Z,2025-11-05T17:55:34+00:00
3,ACHR,$ACHR AMEN Nap. This is the way!,2025-11-05T18:28:07Z,2025-11-05T18:28:07+00:00
4,ACHR,"$ACHR Im all in in this stock . I know it doesnt look good in these days but it will fly soon. Im not selling beliw 25. Trust me, today srock level is gift. Bullish",2025-11-05T18:28:07Z,2025-11-05T18:28:07+00:00
5,ACHR,Stocks on sale im buying : $CRWV $RBRK $FIG (earnings after close) $ACHR $DGXX Bullish,2025-11-05T18:23:15Z,2025-11-05T18:23:15+00:00
6,ACHR,"ENVB SQUEEZING! How much volume do you think it takes to halt ENVB up? 
 
ENVB has not even 500k shares float and recent news. 
 
Hoping for a 200% run on ENVB $ACHR $ADBE $USAR $WBD ! Bullish",2025-11-05T18:22:12Z,2025-11-05T18:22:12+00:00
7,ACHR,$ENVB youtube.com/watch?v=2PsTKk5...,2025-11-05T18:22:12Z,2025-11-05T18:22:12+00:00
8,ACHR,"$ACHR Check out this article from TipRanks | Archer Aviation (ACHR) Wins Tokyo Partnership, Stock Slips Before Earnings Report | tipranks.com/news/archer-av... Bullish",2025-11-05T18:21:44Z,2025-11-05T18:21:44+00:00
9,ACHR,"$ACHR Im all in in this stock . I know it doesnt look good in these days but it will fly soon. Im not selling beliw 25. Trust me, today srock level is gift. Bullish",2025-11-05T18:10:20Z,2025-11-05T18:10:20+00:00
10,ACHR,$ACHR dronelife.com/2025/11/05/jo... Bullish,2025-11-05T18:06:10Z,2025-11-05T18:06:10+00:00
11,ACHR,"$ACHR Markets are up, other eVTOL stocks are up, but Archer seeing red. Low trust in tomorrow's ER. Bearish",2025-11-05T17:59:57Z,2025-11-05T17:59:57+00:00
12,ACHR,"Have a question for Archer Aviation ( $ACHR ) Founder & CEO Adam Goldstein? 
 
Drop it below. We will select a few to ask during a live interview on Friday.",2025-11-05T17:55:34Z,2025-11-05T17:55:34+00:00
13,ACHR,$ACHR primed for another leg up. Time to squeeze!! Bullish,2025-11-05T17:53:56Z,2025-11-05T17:53:56+00:00
14,ACHR,$ACHR,2025-11-05T17:49:54Z,2025-11-05T17:49:54+00:00
15,ACHR,"$JOBY Surprised market is not bidding this up. Everything this company has done up until today was experimental, theoretical. TIA is the step that takes this company from speculative hype machine to a cash flow machine. $ACHR is probably a year or more behind. $BETA is many years behind.",2025-11-05T17:41:49Z,2025-11-05T17:41:49+00:00
16,ACHR,$ACHR buying here. It’s zero or 1000% kind of stock.,2025-11-05T17:33:45Z,2025-11-05T17:33:45+00:00
17,ACHR,$ACHR POS!!!!!,2025-11-05T17:33:26Z,2025-11-05T17:33:26+00:00
18,ACHR,$ACHR No offense I love $BETA and I am going to buy that too but Now Archer has a lower Mcap than Beta lol GTFOH lol ahhh this is funny. Bullish,2025-11-05T17:19:41Z,2025-11-05T17:19:41+00:00
19,ACHR,$ACHR I want to be clear what this is saying. Apparently $JOBY can't lift itself up without moving forward LOL - The engineering fails this aircraft is going to reveal compared to Archer is simply astounding. It doesn't fly higher than a house before it needs to skim the ground and move forward LOL - what is going on over there. Bullish,2025-11-05T17:18:02Z,2025-11-05T17:18:02+00:00
20,ACHR,$ACHR loading is all you should be doing right now. Bullish,2025-11-05T17:10:31Z,2025-11-05T17:10:31+00:00
21,ACHR,$ACHR don't be like this loser. Bearish,2025-11-05T17:09:09Z,2025-11-05T17:09:09+00:00
22,ACHR,"$ACHR The lawsuit was known, but they didn't give any updates. There was no update either on the delay in the certifications, which were supposed to be this year... just superfluous news where there's no investment of money, very disappointing , prepare for the drop after earnings report and have dry powder for the dip Bullish",2025-11-05T16:41:56Z,2025-11-05T16:41:56+00:00
23,ACHR,$ACHR Holding until January!! Not a day trading stock imo. Bullish,2025-11-05T16:24:29Z,2025-11-05T16:24:29+00:00
24,ACHR,"$ACHR MACROVISION, folks! Bullish",2025-11-05T16:13:29Z,2025-11-05T16:13:29+00:00
25,ACHR,"How much volume do you think it takes to halt ENVB up? 
 
ENVB has not even 500k shares float and recent news. 
 
Hoping for a 200% run on ENVB $SBET $ACHR $ADBE $BQ 33 Bullish",2025-11-05T16:12:09Z,2025-11-05T16:12:09+00:00
26,ACHR,"Wishing everyone a solid trading day!

ENVB is still sitting with a super low float (<500K) and hasn’t made noise in a while.

If volume picks up, we might see a quick gap-up. 

Worth a watch in this wild market! Bullish",2025-11-05T16:12:09Z,2025-11-05T16:12:09+00:00
27,ACHR,"$HOVR $ACHR x.com/HorizonAircraft/statu... Project HOVR Flight! 
We’re excited to share more about how our collaboration with Cert Center Canada and the University of Toronto is shaping the future of advanced air mobility. 
 
The project is focused on developing an all-weather lift system for next-generation vertical takeoff aircraft. 
 
Many current platforms, including traditional helicopters, face limitations in icing conditions, where critical systems like rotors and exposed components are vulnerable to ice buildup. 
 
Our Cavorite X7 tackles this challenge head-on. Its closing wing design keeps vital systems protected from the elements and simplifies de-icing, reducing downtime and improving operational safety. 
 
Together, we’re moving one step closer to true all-weather, all-season flight.",2025-11-05T15:58:33Z,2025-11-05T15:58:33+00:00
28,ACHR,$ACHR move pig Bullish,2025-11-05T15:49:22Z,2025-11-05T15:49:22+00:00
29,ACHR,$ACHR buy #2,2025-11-05T15:40:42Z,2025-11-05T15:40:42+00:00
