index,symbol,message,timestamp_raw,timestamp_iso
1,DGXX,"Community Rip is back today with @gpaisa , @JFDI , and @holdingbags !   
   
Drop your questions, charts, or tickers you want featured 👇   
 
We’ll pick a few comments to review live on today's show $SPY $QQQ",2025-11-12T15:08:11Z,2025-11-12T15:08:11+00:00
2,DGXX,$DGXX looking like a scam just like Bitcoin Bearish,2025-11-12T16:12:54Z,2025-11-12T16:12:54+00:00
3,DGXX,$DGXX Low volume so buy n hold. This will recover soon. Good news pending! Bullish,2025-11-12T16:09:53Z,2025-11-12T16:09:53+00:00
4,DGXX,$DGXX hard for a stock  to go up with fear news on every channel trying to short the whole AI market so the big fish can keep getting new lower lows Bullish,2025-11-12T16:00:09Z,2025-11-12T16:00:09+00:00
5,DGXX,"💎 LiquidTheta® Live Actionable Trade

Asset: $DGXX Contracts: $DGXX June 18, 2026 $5 Calls

Scale in: $1.67- $2.04
Scale out: $6.48-$11.10

Profit Potential : 302% ROI Blended

Join 💎 Here: liquidtheta.com",2025-11-12T15:58:22Z,2025-11-12T15:58:22+00:00
6,DGXX,$DGXX marrying a stock screwed me again zz.. sub 200m mc its crazy,2025-11-12T15:54:44Z,2025-11-12T15:54:44+00:00
7,DGXX,"$DGXX Another shit show. If it goes up after earnings, it will go back to the 5's and everyone will be hung ho on that! Bullish",2025-11-12T15:43:34Z,2025-11-12T15:43:34+00:00
8,DGXX,$DGXX told yall was incoming 🔥🔥🔥🔥🔥🔥🔥🔥,2025-11-12T15:40:01Z,2025-11-12T15:40:01+00:00
9,DGXX,"$DGXX Did think 3's could come, didn't think it would only take 100 down on the nasdaq to do it.  Wish it wasn't in conjunction with my other holdings all falling so it would be an easier add. Bullish",2025-11-12T15:39:31Z,2025-11-12T15:39:31+00:00
10,DGXX,$DGXX this week has been a disaster Bullish,2025-11-12T15:39:07Z,2025-11-12T15:39:07+00:00
11,DGXX,$DGXX earnings call is at 8:30AM on 11/14 as per yahoo finance.,2025-11-12T15:38:22Z,2025-11-12T15:38:22+00:00
12,DGXX,$DGXX,2025-11-12T15:34:02Z,2025-11-12T15:34:02+00:00
13,DGXX,"$DGXX cooked, line and sinking",2025-11-12T15:20:27Z,2025-11-12T15:20:27+00:00
14,DGXX,"$DGXX everyone holding through tomorrow? I have 2.26 average. I don’t really see a reason to sell, 200 MDA at 3.50? Worst case drop to 3 if something insanely bad happens?",2025-11-12T15:20:03Z,2025-11-12T15:20:03+00:00
15,DGXX,get $DGXX before it’s too late Bullish,2025-11-12T15:09:13Z,2025-11-12T15:09:13+00:00
16,DGXX,$DGXX added to my pile Bullish,2025-11-12T15:08:41Z,2025-11-12T15:08:41+00:00
17,DGXX,$DGXX HODL be patient buy buy buy Bullish,2025-11-12T14:55:56Z,2025-11-12T14:55:56+00:00
18,DGXX,$DGXX earning soon !,2025-11-12T14:44:08Z,2025-11-12T14:44:08+00:00
